translation_x	translation_y	translation_z	rotMatrix_11	rotMatrix_21	rotMatrix_31	rotMatrix_12	rotMatrix_22	rotMatrix_32	rotMatrix_13	rotMatrix_23	rotMatrix_33
71.9759613981	-85.3782196782	625.2710575991	0.8174175577	0.1474774639	0.5568480476	0.1536842267	0.8758025167	-0.4575490928	-0.5551671049	0.4595872241	0.6932314431
72.4023235264	-84.9803578078	625.6496006587	0.8118400418	0.1533422894	0.5633849659	0.151608988	0.8764406816	-0.4570191516	-0.5638538719	0.456440456	0.6882816185
73.0328334515	-85.0384251118	626.0444271316	0.8070406076	0.1567572957	0.5693063462	0.1517150704	0.8767089192	-0.4564688177	-0.5706707507	0.4547620284	0.6837570703
73.8783449928	-84.6487195236	626.719576733	0.8001486003	0.1618748919	0.5775488857	0.1513429651	0.877251705	-0.4555491758	-0.5803977355	0.4519140311	0.6774333350
74.5879888388	-84.2949295725	627.2145979723	0.7940003355	0.1666937597	0.5846168952	0.1508089387	0.8775998829	-0.4550550903	-0.5889145688	0.4494792005	0.6716757167
75.7890700158	-83.8823563581	628.0417443784	0.7869258473	0.1700844303	0.5931461524	0.152380408	0.8779229285	-0.4539072637	-0.5979391884	0.4475742543	0.6649429245
75.9113297638	-84.0542941789	628.3864206453	0.7815910643	0.174919153	0.5987650855	0.1521909783	0.877400952	-0.4549786193	-0.604941533	0.4467336701	0.6591476798
77.0639631013	-83.7913284086	629.2593963571	0.7738950296	0.1811000725	0.6068659663	0.152135283	0.8770218637	-0.4557271978	-0.6147669333	0.4450115102	0.6511709685
76.6723991451	-83.7336954205	628.8447041788	0.7718470828	0.1813185826	0.6094048541	0.1531541043	0.8772302199	-0.4549844604	-0.617085489	0.4445115691	0.6493178226
77.2367080382	-83.7310008021	629.3004774124	0.7669604747	0.1834718678	0.6149087027	0.1544044834	0.8773357494	-0.4543583114	-0.6228433795	0.4434186266	0.6445531591
77.86405029	-83.8816265535	629.5045776844	0.7638396203	0.1845029809	0.6184720988	0.155703842	0.877284857	-0.4540127668	-0.626342907	0.4430915412	0.6413771010
78.1278510177	-83.7582942738	629.6915637809	0.7609264769	0.1854508313	0.6217735374	0.1560756024	0.8778308298	-0.4528285641	-0.6297894386	0.4416119334	0.6390205902
78.4950561759	-83.7067993967	629.6448257848	0.7599759954	0.1856184398	0.6228828142	0.1560002425	0.8782445544	-0.4520514196	-0.6309525312	0.4407177808	0.6384883132
78.4468443372	-83.4477877932	629.5466685722	0.7590679769	0.1858375563	0.6239251766	0.155029692	0.8792197157	-0.4504871463	-0.6322847615	0.4386766441	0.6385773413
78.660406778	-83.4649415322	629.5000178177	0.7585414448	0.1856776148	0.6246119741	0.1549748832	0.8796357277	-0.4496930956	-0.6329289611	0.4379095949	0.6384648803
78.6982691579	-83.2410100644	629.341409252	0.7589693498	0.1857699182	0.6240638384	0.153754480	0.8801996715	-0.4490079557	-0.6327129618	0.4367357043	0.6394816545
78.785969311	-83.2190640055	629.370200124	0.7590500289	0.1854734545	0.6240557443	0.1536138431	0.8804704182	-0.4485251921	-0.6326521588	0.4363158468	0.6398299885
78.8048095837	-83.4127794436	629.4151251377	0.759712087	0.1851801998	0.6233377602	0.1537707967	0.880244548	-0.4489146702	-0.6318197904	0.436896065	0.6402573579
79.0192563413	-83.6757005662	629.6001477112	0.7599831293	0.1854316302	0.6229290026	0.1547724447	0.8792316347	-0.450552118	-0.6312455056	0.4388241869	0.6395015002
79.092038004	-83.7447361714	629.7266328358	0.7602883272	0.1854623676	0.6225478456	0.1547342481	0.8790825591	-0.4508560774	-0.6308877948	0.4391099161	0.6396588604
79.3189849578	-83.4920728253	629.8566769555	0.7604724407	0.1866408494	0.6219727567	0.1534740326	0.8790128827	-0.4514225469	-0.6309759661	0.4387503055	0.6398207403
79.3052091494	-83.5331115092	630.0021269025	0.7604716255	0.1868414333	0.6219138008	0.1536976252	0.8787121809	-0.4519316444	-0.6309228004	0.4392670465	0.6395188059
79.4384821499	-83.1723571792	630.0959692756	0.7601988952	0.1875625112	0.6220260243	0.1520781852	0.8794495063	-0.4510439758	-0.6316394013	0.4374802875	0.6400322680
79.4363947143	-83.2528736074	630.362649558	0.7596916356	0.1869445911	0.6228327052	0.1529708738	0.879533652	-0.4505779431	-0.6320354309	0.4375755496	0.6395772912
79.6538468061	-83.0899983848	630.4283382474	0.7600838777	0.1871630742	0.6222881119	0.1520912388	0.8797878408	-0.4503794042	-0.6317759021	0.4369707839	0.6402466825
79.5918454286	-83.1688119712	630.5691935358	0.7600523582	0.1875853556	0.6221982903	0.1518661828	0.8796530568	-0.4507183765	-0.631866787	0.4370608178	0.6400944211
79.609452875	-83.0456452621	630.6690442897	0.7605629444	0.1883132133	0.6213521603	0.150731126	0.879653574	-0.4510980465	-0.6315223529	0.436746484	0.6406470315
79.7536153637	-82.9104275345	630.7451009757	0.7610629531	0.189627288	0.6203391854	0.1493252817	0.8794184988	-0.4520229757	-0.6312536288	0.4366512296	0.6409764558
79.7828141751	-82.8928084452	630.9010038678	0.7617459539	0.1897391465	0.6194698405	0.1494695911	0.8788926782	-0.4529973002	-0.6303988288	0.4376606245	0.6411327493
79.4932224176	-83.0826322531	630.9596574955	0.7627520675	0.1896253098	0.6182673711	0.1488278603	0.8789105895	-0.4531739979	-0.6293350194	0.4376739831	0.6421695272
79.2087706902	-82.991176657	630.8308206081	0.7653041789	0.1884848995	0.6154515404	0.1475494986	0.8793316422	-0.4527745927	-0.6265271729	0.4373204842	0.6451451836
79.0839551704	-82.8456096999	630.6989332976	0.7681774179	0.187692280	0.6121070202	0.1456891737	0.8797357122	-0.4525922476	-0.623440483	0.4368484241	0.6484483793
78.5766383434	-82.8810914316	630.4240800201	0.7727991133	0.1854630621	0.6069462098	0.144064293	0.8801190893	-0.4523668614	-0.6180822855	0.4370282619	0.6534365743
